LOCATION,LATITUDE,LONGITUDE,FIPS,AREA,IRRIGATION,TEMP_01,TEMP_02,TEMP_03,TEMP_04,TEMP_05,TEMP_06,TEMP_07,TEMP_08,TEMP_09,TEMP_10,TEMP_11,TEMP_12,TEMP_13,TEMP_14,PREC_01,PREC_02,PREC_03,PREC_04,PREC_05,PREC_06,PREC_07,PREC_08,PREC_09,PREC_10,PREC_11,PREC_12,PREC_13,PREC_14,RAD_01,RAD_02,RAD_03,RAD_04,RAD_05,RAD_06,RAD_07,RAD_08,RAD_09,RAD_10,RAD_11,RAD_12,RAD_13,RAD_14,RAD_13,RAD_14,CEC,PH,ORGANIC MATTER ,CLAY,SILT_TOP,SAND_TOP,AWC_100CM
140,45.31436,-98.2989,46013,8651.3,234.629694,3178.2,3153.7,3126.2,2958,3315.6,3339.3,3244.8,3040.6,2965.5,3334,3130.3,3578.9,3093.2,3021.9,3336.1,406.9,247.2,370.5,402.7,391.4,231.7,352.7,545.7,427.6,591.3,491.7,383,520.2,697.5,532.5,1102018,1137602,1101040,1115462,1127588,1122634,1145510,1124394,1113649,1084411,1065678,1142812,1077983,1048878,27.307198,6.951561,5.989278,25.472148,49.133363,25.414725,24.106608
150,46.202694,-98.2391,38021,7690.1,596.776817,3027.1,2954.3,2981.4,2746.5,3135,3219,3089.5,2911.3,2835.9,3130.2,2909.7,3319,2872.2,2842.6,3158.8,371.3,262.7,373.5,411.2,387.5,229.8,366.6,431.1,358.6,488.4,490,343.7,455.2,616.9,458.8,1089861,1116983,1079468,1085256,1114035,1118541,1128600,1098585,1083028,1062497,1057289,1121718,1048643,1024703,26.957535,7.003484,6.298501,24.167102,36.957535,38.861135,22.18689
160,47.351845,-99.475466,38103,9482.9,33.397585,2856.8,2697.5,2810.7,2494.9,2898.5,3052.8,2905.8,2732.6,2614.1,2869.3,2692.9,3097.3,2622.8,2636.6,2962.5,304.1,287.5,390.5,375.5,357.2,193.5,349.4,474.2,431.4,517.5,481,288.1,544.1,493.6,450.7,1081278,1100361,1065333,1053136,1102979,1122858,1120501,1089981,1058531,1045755,1043057,1081757,1050316,1011466,25.457031,7.031474,6.220953,25.04456,36.189453,38.683521,22.354102
1102,46.49975,-97.57849,38073,9268.8,1275.500954,3038.7,2943.5,2965.2,2724.5,3132.1,3213.7,3114.5,2978.1,2908.6,3196.7,2987.1,3357.5,2885.2,2896.7,3196.7,391.9,317.3,422.3,451.2,400.9,250.5,347.4,487.3,338.3,586.6,530.8,369.6,554.1,575.7,499.3,1075162,1107742,1066667,1067061,1086096,1105214,1112427,1084617,1068505,1054581,1043867,1112523,1029232,1012789,25.136548,7.078729,6.359579,23.057703,34.114755,42.801622,20.991182
1110,44.30998,-96.705308,46011,5092.6,789.362212,3208.2,3180.3,3126.5,3026.4,3353,3253.2,3286.8,3057.6,2996.7,3299.5,3136.5,3528.8,2990.6,2996.9,3252.7,432.8,346.5,405.4,458.8,465.1,374.8,388.6,509.7,469.5,836.2,581.1,477.4,695.1,519.7,542.3,1102202,1143285,1114272,1118186,1121546,1116489,1145936,1125282,1094525,1092609,1061734,1149779,1062451,1036223,27.102865,6.79673,6.349816,24.457972,41.334997,34.166522,22.973416
1130,44.93597,-98.39331,46115,7413.3,664.385747,3267.1,3262.5,3218.2,3069.3,3407.6,3430.8,3344.3,3098.6,3021.6,3377.1,3180.4,3649.8,3151.5,3094.9,3377.3,413,236.8,347.2,385,372,217.1,341.8,509.4,445,590.7,510.6,377.2,542.5,641.4,448,1107308,1146010,1111591,1128362,1135824,1131689,1155434,1129846,1116986,1090583,1074057,1149209,1085817,1058598,27.291794,6.901997,5.611397,25.629412,49.651634,24.664706,24.378083
1140,44.348412,-96.634137,46011,6319.8,948.247934,3157.6,3137.9,3082.1,2987.2,3313.4,3209,3252.8,2997.1,2931.2,3236.6,3078.6,3461.2,2927.3,2913.6,3204.5,445.5,369.3,415,468.1,472.7,380.9,388.3,556.1,475.8,842.6,583.9,478.2,694.6,545.9,542.3,1101477,1141724,1115113,1116455,1120764,1115414,1145237,1121685,1089143,1090439,1059459,1148611,1058003,1034445,27.426505,6.764019,6.074994,24.948061,44.301143,30.841869,23.508854
1210,44.717,-94.086,27143,7201.4,33.303463,3124.1,3096,3089.4,2980.3,3313.5,3267.1,3314,3117.4,3165.8,3360.7,3184.9,3480.4,3092.2,3007.8,3275.5,511.8,502.3,436.7,540.6,427,394.1,342.4,667.1,486.4,882.4,621.1,544.9,588.2,666.2,580.9,1073346,1095573,1092131,1082326,1087858,1091942,1127656,1066787,1066141,1049926,1035452,1119820,1020404,1000506,28.921152,6.61718,7.626366,26.60735,37.865741,35.574797,23.595226
1220,44.483,-93.035,27049,4406.2,142.675785,3172.3,3138.2,3126.1,3026.2,3335.8,3306.7,3347.9,3129.8,3188.8,3429.9,3201.8,3512.9,3100.4,3072.1,3256.6,507.8,517.8,446.2,568.9,404.9,378.4,358,704,495.6,934.5,651.4,497.1,643.5,727.4,633.2,1069232,1086058,1087210,1076478,1087662,1081208,1123347,1053638,1057745,1056288,1022115,1115279,1000423,995052,26.025365,6.178823,6.803279,20.850073,38.459942,40.704167,21.853048
1250,44.089,-93.303,27147,5480.1,62.634715,3120.3,3126.4,3087.1,3022.5,3294.4,3230,3293.9,3067.8,3106.3,3368.7,3146.8,3489.3,3057.7,2994.4,3210.4,528,486.8,437.4,535.1,413.3,411.1,363,726.7,559.1,818.5,630.4,478.1,628.4,837.8,733,1081005,1099274,1095816,1089951,1105416,1083962,1132724,1057477,1056750,1060760,1033036,1127106,1022768,998548,30.351997,6.215126,7.539843,25.5727,43.866753,30.560547,24.642687
1260,43.68881,-96.28616,27133,7653.3,108.25866,3189,3201.1,3116.2,3047.3,3354.9,3253.9,3306.3,3074.4,2995.4,3315,3129.8,3534.3,3019.9,2987.2,3275.1,463.7,386.6,413.6,466.9,452.8,359.3,386.3,569,525.8,811.2,605.7,482.8,610.6,629.2,671.9,1104139,1145848,1123071,1121590,1128710,1120225,1150087,1114864,1080771,1094815,1065236,1160481,1054856,1031275,27.297671,6.476338,5.662898,26.234158,48.90191,24.833333,24.465885
1270,44.643,-95.156,27127,6997.8,27.144595,3140,3125.3,3099.3,2979.9,3336.1,3239.9,3300,3220.6,3166.6,3343.6,3230.4,3582.6,3127.2,3063.2,3357,473,423.1,434,507.7,486.9,430.8,335.8,660.4,510.7,811.2,644.7,521.8,648.1,650.5,482.9,1086678,1118362,1101317,1096983,1100621,1103670,1134938,1089405,1070482,1068389,1040217,1126041,1035417,1002471,26.269748,6.82764,6.528933,25.591073,36.268012,38.143953,22.656272
1280,44.92363,-95.98347,27073,8155.1,267.142745,3120,3071.6,3042.7,2905.6,3277.8,3222.7,3241.9,3116,3102.8,3280.4,3158.6,3538,3066.6,3018.3,3329.8,456.8,384.4,481.3,497.5,476,375.4,348.6,638.3,446.7,699.7,590,425.6,616.8,664.5,480.3,1086485,1120975,1093865,1093007,1098227,1101296,1130941,1105367,1080342,1072606,1050331,1115487,1031477,1010586,28.927517,7.071832,6.562415,28.440611,38.973235,32.669126,24.088759
1290,43.757,-92.872,27099,6472.2,210.585953,3128.7,3139.9,3083.9,3034.6,3292.6,3217,3280.1,3054.5,3080.5,3353.9,3134.1,3497.3,3057.2,2979.3,3187.6,553.4,489,461.7,530.7,402.3,434.4,387.2,706.3,540,827.6,649.7,424.3,655.7,864.6,718.8,1083378,1100947,1097269,1091295,1114887,1081129,1135760,1055668,1051819,1061245,1032066,1130376,1022627,999616,28.694517,6.090791,7.233593,23.257957,47.151982,29.602865,23.748958
1301,43.3077,-89.32343,55021,2856.1,209.094754,3203.5,3200.3,3023,3036.3,3334.9,3224.8,3266.7,3148.9,3026.4,3408.3,3141.2,3509.6,3074.9,3058.7,3274,554.8,436.7,512.1,602.7,286.9,471.6,460.8,599.9,641.2,735.8,634.2,325,659.6,661.4,689.2,1092285,1110116,1099652,1075674,1147481,1067968,1120214,1046223,1021994,1050842,1008775,1128769,1012620,1031580,23.702722,6.126796,8.143973,21.061396,52.044237,26.935491,23.24242
1320,42.979716,-89.449691,55025,2156.2,225.682054,3279.5,3275.4,3106.3,3124.7,3414.4,3292.2,3353.3,3215.4,3082.6,3464.2,3214.5,3552.9,3147.1,3118.2,3271.4,559.7,453.1,550,590.9,279.5,470.9,434.7,617.6,655.7,736.2,650.9,330.9,642.4,594.3,684.6,1089482,1102876,1093710,1073106,1145380,1061153,1121141,1052678,1022739,1059291,1019228,1132342,1014960,1032072,23.76331,6.200955,7.813844,20.289352,51.361834,28.37283,23.030469
1402,43.50734,-83.52332,26157,7189.9,250.272799,2972,2990.2,2714.7,2799.4,3097.6,2987,2967,3118.9,2929.4,3361.4,3059.3,3265.3,3005.1,2911,3241.1,417.5,331.2,393.3,391.4,266.6,368.9,298.5,702.3,563.9,635.1,655.5,374,630.5,581.9,463,1077011,1108153,1053980,1062049,1105012,1076563,1133573,1055854,1026066,1031389,1024936,1110759,1017373,1041977,23.011212,6.628805,7.814006,22.881583,37.460142,39.638817,21.558485
1410,43.173979,-84.787589,26057,5669.8,467.131812,3088.4,3133.2,2920.8,3000.6,3274.5,3143,3189.5,3163.7,2993.5,3364,3108.8,3329.9,3064,2951.2,3247,465.3,448.2,413.2,475.8,276.4,424.2,352,638.6,594.1,624.6,670.5,336.1,635.4,563.1,517.3,1076918,1107702,1051461,1059318,1103980,1071364,1125399,1067132,1030208,1033691,1019269,1108274,1020250,1027014,22.447917,6.367093,9.740458,21.438006,35.346427,43.18099,20.807444
2110,43.3196,-96.56882,46083,6760.4,120.261918,3319.5,3340.1,3220.8,3171.9,3465.7,3366.3,3419.6,3206.7,3137.6,3432.1,3255.5,3699.2,3213.1,3127.8,3390.8,435.4,352.8,382.8,425.9,409.6,345.5,375.6,589.9,514.5,765,657.6,464,577.6,684.1,654.3,1110490,1158984,1132607,1129629,1142867,1130504,1158031,1118318,1087794,1098418,1069596,1179091,1054586,1040005,27.936053,6.615104,4.423613,26.624349,44.908709,28.442419,24.199002
2111,43.3196,-96.56882,46083,6760.4,120.261918,3319.5,3340.1,3220.8,3171.9,3465.7,3366.3,3419.6,3206.7,3137.6,3432.1,3255.5,3699.2,3213.1,3127.8,3390.8,435.4,352.8,382.8,425.9,409.6,345.5,375.6,589.9,514.5,765,657.6,464,577.6,684.1,654.3,1110490,1158984,1132607,1129629,1142867,1130504,1158031,1118318,1087794,1098418,1069596,1179091,1054586,1040005,27.936053,6.615104,4.423613,26.624349,44.908709,28.442419,24.199002
2120,41.908969,-96.980766,31039,8004.2,3122.371686,3592.4,3648.7,3456.1,3462.3,3737.6,3633,3670,3426.4,3375.9,3677.2,3490.5,3962.8,3490.9,3395.4,3534.3,453.4,305.3,357.4,343.5,328,351.4,373.2,526.6,472.2,597.2,612.2,390.5,552.7,794.6,725.4,1129775,1190709,1155607,1146356,1176258,1161278,1167466,1118553,1098875,1119632,1097103,1210019,1070640,1085937,26.71318,6.243627,3.481656,26.996672,55.90191,17.144097,25.067535
2130,41.77197,-97.44966,31119,8329.4,6346.140016,3572.9,3631.5,3436.4,3454.8,3708.4,3611.6,3641.3,3393.7,3342.9,3648.4,3481.8,3931.3,3483,3386.6,3500.7,442.4,307,359.9,321.7,314.2,346.1,363.7,532.9,493.3,594.4,635.5,365.1,514.8,700.4,762.2,1138427,1199894,1162722,1151772,1180971,1171247,1166131,1130348,1106179,1127078,1099753,1209453,1081833,1104488,26.429181,6.289562,3.480524,26.879413,52.637876,20.540365,24.849826
2170,41.814372,-96.157919,31021,8979.5,3967.091143,3566.3,3625.3,3439.5,3430,3746,3639.1,3645,3480.9,3415.4,3648.8,3559.2,3949.3,3537.6,3437.4,3586.4,495.9,318.7,352.3,359.8,282.9,385.8,386.3,612.8,479.9,722.5,624,417.7,503.6,806.9,845.7,1118433,1176424,1148560,1143034,1178959,1150234,1169147,1106222,1097510,1098721,1090615,1198932,1064136,1067478,28.967303,6.66663,4.110656,28.837674,51.476273,19.666884,25.333073
2200,42.28956,-91.0908,19061,2895.4,24.621815,3386.7,3388,3277.6,3249.5,3548.4,3414.5,3489.6,3268.5,3201.6,3554.4,3358.8,3655.9,3315.1,3228.6,3350.8,565.9,508.5,546,505.2,254.4,420,390.3,774.4,775.7,904.4,619.9,415.5,677.1,747.3,709.9,1089496,1101108,1094115,1084600,1153911,1069581,1135705,1040957,1034480,1063030,1060185,1147794,1043740,1040926,24.467014,6.185301,7.101171,20.671224,54.323351,24.981771,23.48763
2201,41.684804,-94.14332,19049,7919.3,70.664687,3481.5,3482.4,3380.1,3361.5,3629.4,3582,3582.4,3396.7,3346.8,3671.6,3500.1,3862.2,3462.6,3351.6,3548.2,563,498.5,421.7,422,299.8,338.8,363.9,800.7,710.9,930.5,665.2,351.6,632.8,953,877.4,1095050,1133293,1130232,1128980,1171246,1119163,1166148,1084210,1083509,1082524,1069652,1162814,1055874,1026152,28.911097,6.375101,4.128498,27.871166,49.979745,22.132523,25.327951
2210,43.148,-93.108,19033,6335.1,87.712941,3210,3234.5,3148.2,3123.2,3381.6,3287.4,3334.8,3172,3128.8,3429,3252.4,3619.5,3183,3099,3319.2,593.4,491,497.2,494.7,354.5,434.6,401.8,755,667.4,883.8,711.4,381.4,650.5,841,823.2,1087986,1110901,1107028,1101290,1138795,1089686,1147891,1059282,1052785,1066619,1052829,1132757,1028484,1006544,26.361183,6.323126,5.251748,23.079716,41.06807,35.727792,23.036762
2212,42.8737,-95.8045,19035,10501,3.657828,3356.6,3401.3,3246.9,3227.3,3530.3,3432.6,3467,3191.2,3161,3455,3289.1,3678.6,3220.4,3140.2,3362.1,477.3,362.2,385.8,435.2,363.3,370.6,366.3,630.3,540.2,757.5,621.3,476.8,552.5,869.9,773.6,1105888,1154167,1133253,1129368,1150749,1129318,1162088,1096075,1083250,1094852,1070729,1178434,1051159,1023900,32.053096,6.337674,4.867709,29.879196,52.588614,17.575231,25.947938
2213,42.792,-93.493,19197,8598.3,2.443244,3244.8,3278.5,3178.7,3160.4,3423.7,3339.3,3373,3177.4,3161.1,3452.8,3278.6,3641.4,3212.7,3105.2,3339.4,575.6,454.4,458.4,460.4,339.6,403.5,386,789.8,611.9,976.5,640,375.5,675.2,768.5,802,1089678,1119395,1115132,1112255,1144484,1101433,1154958,1064461,1064288,1074499,1063693,1136748,1044315,1003374,28.727503,6.527901,5.60712,25.304326,39.148003,35.570312,23.883854
2220,42.962069,-95.170808,19041,7803.5,44.073267,3304.1,3352.5,3206.9,3192.5,3488.6,3396.4,3431.7,3182.5,3185.4,3467.6,3293.9,3669,3227.8,3128.3,3358.7,493.4,380,390.7,445.9,364.1,372.5,356.5,704.7,551.5,779,626,449.5,585.4,848.8,818.7,1100601,1144614,1128193,1125875,1144449,1123013,1159436,1081235,1081266,1092290,1072653,1171144,1048964,1011976,30.728082,6.416117,5.758479,27.814742,47.184751,25.041667,25.157053
2230,42.771771,-95.637367,19035,6538.7,3.149967,3358.2,3406.8,3245.2,3229.9,3536.5,3439.2,3463.1,3198.5,3186.1,3474.7,3314.4,3690.3,3252.6,3160.5,3396.6,488,357.9,382.6,428.3,348.8,371.9,374.4,752.3,531.7,774.3,636.5,433.5,599.5,930.3,778.1,1105621,1154780,1134501,1130686,1154382,1130466,1163876,1088334,1086221,1093090,1073336,1181735,1050751,1019900,28.558015,6.367925,4.44189,28.003545,51.878979,20.160373,24.985677
2240,42.35636,-92.4855,19013,6282.6,32.880859,3309.1,3318.9,3222.5,3197.2,3472.6,3367.6,3417.6,3271.1,3213.3,3538.9,3349.7,3671.6,3302.4,3206.3,3403.8,584.3,503.4,531.5,488.3,323.9,432.4,390.9,745.3,645.9,984.9,621.6,369.3,712.8,786.2,831.5,1089577,1111784,1107869,1099829,1151083,1089226,1150014,1048668,1052726,1061675,1059809,1148385,1036034,1017325,26.066262,6.096803,5.188692,24.215929,46.658058,29.041594,23.980317
2241,42.35636,-92.4855,19013,6282.6,32.880859,3309.1,3318.9,3222.5,3197.2,3472.6,3367.6,3417.6,3271.1,3213.3,3538.9,3349.7,3671.6,3302.4,3206.3,3403.8,584.3,503.4,531.5,488.3,323.9,432.4,390.9,745.3,645.9,984.9,621.6,369.3,712.8,786.2,831.5,1089577,1111784,1107869,1099829,1151083,1089226,1150014,1048668,1052726,1061675,1059809,1148385,1036034,1017325,26.066262,6.096803,5.188692,24.215929,46.658058,29.041594,23.980317
2250,42.488463,-94.040617,19187,7701,6.217621,3339.4,3373.5,3253.6,3243.7,3517.2,3440.8,3455.1,3272.1,3258.2,3545.5,3372.4,3742.7,3320.3,3211.9,3426.3,566.9,433.1,444.4,446.1,314.1,385.6,385.4,756.6,577.7,965.2,636.4,324.3,636.6,877.5,883.8,1091745,1127667,1122869,1121524,1154128,1110902,1161951,1070345,1079147,1081646,1067932,1147292,1053145,1008124,30.35829,6.420067,5.78783,27.109881,38.086589,34.811053,24.66174
2260,42.167166,-95.004394,19027,6056.6,30.495867,3421.9,3461.6,3305.4,3302.5,3603.5,3526.5,3514.1,3279.6,3245.1,3548.2,3377.5,3756.3,3342.7,3234,3434.5,535.3,388.7,388,414.8,290.2,377.7,390.7,771.5,540.4,822.7,724.7,345.5,592.7,914,969.4,1100259,1147887,1135684,1134679,1165596,1128844,1168399,1086145,1091966,1092789,1073828,1180918,1060528,1024896,29.080874,6.173944,4.177184,27.691913,53.611907,18.689308,25.529644
2261,42.167166,-95.004394,19027,6056.6,30.495867,3421.9,3461.6,3305.4,3302.5,3603.5,3526.5,3514.1,3279.6,3245.1,3548.2,3377.5,3756.3,3342.7,3234,3434.5,535.3,388.7,388,414.8,290.2,377.7,390.7,771.5,540.4,822.7,724.7,345.5,592.7,914,969.4,1100259,1147887,1135684,1134679,1165596,1128844,1168399,1086145,1091966,1092789,1073828,1180918,1060528,1024896,29.080874,6.173944,4.177184,27.691913,53.611907,18.689308,25.529644
2270,42.95074,-94.039738,19109,8173.1,56.748693,3228.2,3276.3,3175.2,3154.9,3421.5,3338.6,3373.4,3188.4,3190.6,3474.5,3293.7,3674.1,3234.4,3130.7,3351.7,560,427,422.2,454.2,353.8,387.4,374.5,724.1,531.6,939.2,648.7,384.1,666.2,781.8,849.8,1089948,1121287,1115349,1113945,1136689,1104364,1153357,1065949,1066302,1077119,1062506,1140274,1041270,1003302,31.529297,6.707885,6.343918,26.305122,37.982639,35.670718,24.44464
2280,42.73317,-92.0392,19065,6469.2,28.653829,3225.1,3232.5,3139.9,3107.8,3380.8,3270,3326,3165,3106.2,3419.6,3251.1,3569.9,3189.3,3107.8,3296.4,583.9,509.2,527.8,526.4,331.4,461,416.2,757.6,613,893.1,633.3,399.6,737.1,756.1,762.1,1086891,1104679,1100173,1090054,1141879,1078784,1141772,1041225,1044094,1059288,1047271,1144909,1018530,1015345,25.041667,6.000919,6.126231,22.071759,42.603226,35.235388,22.918641
2290,41.95584,-93.541321,19169,7155,50.947339,3436.4,3446.5,3348.3,3324.8,3590.6,3530.9,3545.1,3352.1,3319.8,3634.4,3460,3810.8,3416.1,3311.1,3493.1,575,492.7,451.8,438.1,312.2,357.8,370.3,847.6,762.3,960.5,602.8,351.2,683.6,957.1,843.1,1093162,1126400,1123464,1120429,1164317,1110763,1162246,1070142,1078880,1078276,1064876,1151862,1055653,1018408,28.621021,6.241312,3.880812,25.871962,43.611256,30.542607,24.334115
2291,42.159384,-93.444362,19169,8486.6,32.686278,3361.7,3376.3,3273.6,3254.8,3521.8,3451.4,3472.1,3266.7,3242.8,3543,3367.3,3722.2,3316.9,3206.7,3428.5,576,479.3,464.7,443.7,314.6,376.8,376.6,808.9,741.1,997.4,614.9,323.8,675.3,858.8,847.1,1092125,1124769,1121564,1118386,1160464,1108155,1161167,1066336,1076461,1077328,1065257,1147209,1053454,1013800,29.822193,6.275217,4.960615,26.188296,42.700231,31.150391,24.838411
2292,42.077777,-93.512541,19169,8007.3,60.684161,3436.4,3446.5,3348.3,3324.8,3590.6,3530.9,3545.1,3352.1,3319.8,3634.4,3460,3810.8,3416.1,3311.1,3493.1,575,492.7,451.8,438.1,312.2,357.8,370.3,847.6,762.3,960.5,602.8,351.2,683.6,957.1,843.1,1093162,1126400,1123464,1120429,1164317,1110763,1162246,1070142,1078880,1078276,1064876,1151862,1055653,1018408,29.248626,6.28384,4.468491,25.90531,42.428096,31.686198,24.476693
2301,42.66187,-88.936,55105,6376.3,969.124576,3275.9,3276.3,3068.5,3118,3423,3279.6,3349.3,3242,3090.6,3472.3,3213.5,3541.3,3158.4,3106.6,3294.2,550.9,449.9,551.1,584.2,263.8,473.9,431.6,606,689.1,759.7,688,311,615.5,632.3,619.8,1103942,1116090,1107155,1088930,1158112,1071768,1130061,1051644,1017214,1056370,1020071,1130063,1015681,1038750,26.866898,6.236097,7.978317,22.099175,53.841797,24.070385,24.483681
2308,42.5036,-88.876,55105,4891,301.586182,3367.8,3367.4,3168.1,3219.8,3519.1,3364.5,3452.5,3299.3,3161.5,3533.4,3279.1,3592.9,3234.7,3173.4,3338.7,549.3,460.6,590.2,562.8,256.4,480.7,407.3,650.5,662.8,843.1,737.8,338.6,676.1,618.9,595.9,1101800,1110019,1102599,1087257,1157040,1066551,1130987,1046837,1014181,1055041,1029930,1130669,1019670,1043724,24.485749,6.17304,7.769674,20.784867,55.920067,23.290582,23.703689
2309,42.66489,-88.97023,55105,1842.6,771.300574,3275.9,3276.3,3068.5,3118,3423,3279.6,3349.3,3242,3090.6,3472.3,3213.5,3541.3,3158.4,3106.6,3294.2,550.9,449.9,551.1,584.2,263.8,473.9,431.6,606,689.1,759.7,688,311,615.5,632.3,619.8,1103942,1116090,1107155,1088930,1158112,1071768,1130061,1051644,1017214,1056370,1020071,1130063,1015681,1038750,25.42173,6.314938,6.543067,22.271774,46.674624,31.063006,23.489062
